Alec Wolfe/Lucas Stack Data Management Summative Probabilities,Generated using a C program

Dealer Cards, Player Cards,Dealer Expected Points, Player Expected Points, Dealer Won
5,3,6.923077,4.153846,Yes
5,4,6.923077,5.538462,Yes
5,5,6.923077,6.923077,Tie
5,6,6.923077,8.307693,No
5,7,6.923077,9.692308,No
5,8,6.923077,11.076923,No
6,3,8.307693,4.153846,Yes
6,4,8.307693,5.538462,Yes
6,5,8.307693,6.923077,Yes
6,6,8.307693,8.307693,Tie
6,7,8.307693,9.692308,No
6,8,8.307693,11.076923,No
7,3,9.692308,4.153846,Yes
7,4,9.692308,5.538462,Yes
7,5,9.692308,6.923077,Yes
7,6,9.692308,8.307693,Yes
7,7,9.692308,9.692308,Tie
7,8,9.692308,11.076923,No
8,3,11.076923,4.153846,Yes
8,4,11.076923,5.538462,Yes
8,5,11.076923,6.923077,Yes
8,6,11.076923,8.307693,Yes
8,7,11.076923,9.692308,Yes
8,8,11.076923,11.076923,Tie
,,215.999985 (total),182.769226 (total),14 (total) of 24 with 4 ties
